dataset,method,split,traintest,coverage,width,rmse
power-plant,linear_regression,7,train,0.964343786,1.050102316,4.571825736
power-plant,linear_regression,8,test,0.951933124,1.047727951,4.573695981
power-plant,linear_regression,8,train,0.965737515,1.047738041,4.555977611
power-plant,linear_regression,9,test,0.967607106,1.052627049,4.515916858
power-plant,linear_regression,9,train,0.965156794,1.052631218,4.568503546
power-plant,linear_regression,10,test,0.957157785,1.043169117,4.70861563
power-plant,linear_regression,10,train,0.96445993,1.043165395,4.54204124
power-plant,linear_regression,11,test,0.97492163,1.044607032,4.685632949
power-plant,linear_regression,11,train,0.96271777,1.044605336,4.54629576
power-plant,linear_regression,12,test,0.948798328,1.040287668,4.865592192
power-plant,linear_regression,12,train,0.964111498,1.040293953,4.528175118
power-plant,linear_regression,13,test,0.968652038,1.050215855,4.457825016
power-plant,linear_regression,13,train,0.964343786,1.050212281,4.570929047
power-plant,linear_regression,14,test,0.971786834,1.051776007,4.336942241
power-plant,linear_regression,14,train,0.964924506,1.051776576,4.581055662
power-plant,linear_regression,15,test,0.963427377,1.04853998,4.547927613
power-plant,linear_regression,15,train,0.965272938,1.048540666,4.573738574
power-plant,linear_regression,16,test,0.96969697,1.05231599,4.401443571
power-plant,linear_regression,16,train,0.964692218,1.052316495,4.577027216
power-plant,linear_regression,17,test,0.963427377,1.040623946,4.800956243
power-plant,linear_regression,17,train,0.963066202,1.040622238,4.532530224
power-plant,linear_regression,18,test,0.959247649,1.038939347,4.920986674
power-plant,linear_regression,18,train,0.963182346,1.038948359,4.516371102
power-plant,linear_regression,19,test,0.957157785,1.043212874,4.716831656
power-plant,linear_regression,19,train,0.964924506,1.043208613,4.540756749
protein-tertiary-structure,linear_regression,0,test,0.963699978,3.320001963,5.193808641
protein-tertiary-structure,linear_regression,0,train,0.962848673,3.32001472,5.181683378
protein-tertiary-structure,linear_regression,1,test,0.962169254,3.318155464,5.251008063
protein-tertiary-structure,linear_regression,1,train,0.962484206,3.318147585,5.175543542
protein-tertiary-structure,linear_regression,2,test,0.961950579,3.317277225,5.206444413
protein-tertiary-structure,linear_regression,2,train,0.96299446,3.3172733,5.180268635
protein-tertiary-structure,linear_regression,3,test,0.962169254,3.318186723,5.231620062
protein-tertiary-structure,linear_regression,3,train,0.96299446,3.318210074,5.177436054
protein-tertiary-structure,linear_regression,4,test,0.959326482,3.317464648,5.208070341
protein-tertiary-structure,linear_regression,4,train,0.963383225,3.317460931,5.179918008
wine-quality-red,linear_regression,0,test,0.9375,3.165205268,0.702155674
wine-quality-red,linear_regression,0,train,0.949235049,3.165502046,0.640282794
wine-quality-red,linear_regression,1,test,0.9375,3.160966961,0.682680718
wine-quality-red,linear_regression,1,train,0.949235049,3.160235214,0.641835541
wine-quality-red,linear_regression,2,test,0.96875,3.154436596,0.609669517
wine-quality-red,linear_regression,2,train,0.947844228,3.154779457,0.649833367
wine-quality-red,linear_regression,3,test,0.94375,3.161766663,0.676561688
wine-quality-red,linear_regression,3,train,0.947844228,3.161578568,0.643398441
wine-quality-red,linear_regression,4,test,0.95,3.171011407,0.631889238
wine-quality-red,linear_regression,4,train,0.947844228,3.171099012,0.647789786
wine-quality-red,linear_regression,5,test,0.925,3.138344027,0.691175372
wine-quality-red,linear_regression,5,train,0.950625869,3.13783478,0.64071202
wine-quality-red,linear_regression,6,test,0.90625,3.146520889,0.747626581
wine-quality-red,linear_regression,6,train,0.950625869,3.146848596,0.634200837
wine-quality-red,linear_regression,7,test,0.95625,3.167550205,0.617848635
wine-quality-red,linear_regression,7,train,0.947844228,3.167530675,0.649336651
wine-quality-red,linear_regression,8,test,0.925,3.153113912,0.692181055
wine-quality-red,linear_regression,8,train,0.9527121,3.153093055,0.641045121
wine-quality-red,linear_regression,9,test,0.9375,3.143204126,0.694954148
wine-quality-red,linear_regression,9,train,0.949235049,3.143227988,0.639937534
wine-quality-red,linear_regression,10,test,0.95,3.169267045,0.649485296
wine-quality-red,linear_regression,10,train,0.948539638,3.169539995,0.645720459
wine-quality-red,linear_regression,11,test,0.95,3.165002206,0.667061437
wine-quality-red,linear_regression,11,train,0.948539638,3.164889742,0.643991922
wine-quality-red,linear_regression,12,test,0.95625,3.176157376,0.616432555
wine-quality-red,linear_regression,12,train,0.946453408,3.175857505,0.651161436
wine-quality-red,linear_regression,13,test,0.95,3.154872885,0.637167741
wine-quality-red,linear_regression,13,train,0.947844228,3.154824009,0.647112169
wine-quality-red,linear_regression,14,test,0.95625,3.163772608,0.622899436
wine-quality-red,linear_regression,14,train,0.946453408,3.163783931,0.649028345
wine-quality-red,linear_regression,15,test,0.95625,3.13980402,0.662669042
wine-quality-red,linear_regression,15,train,0.946453408,3.139639496,0.644276517
wine-quality-red,linear_regression,16,test,0.93125,3.137420017,0.676420116
wine-quality-red,linear_regression,16,train,0.949930459,3.137610834,0.642955051
wine-quality-red,linear_regression,17,test,0.9375,3.156968581,0.6732847
wine-quality-red,linear_regression,17,train,0.949930459,3.157124141,0.643190504
wine-quality-red,linear_regression,18,test,0.95,3.152016149,0.659798812
wine-quality-red,linear_regression,18,train,0.948539638,3.15158509,0.644300521
wine-quality-red,linear_regression,19,test,0.924528302,3.169567478,0.668724098
