dataset,method,split,traintest,coverage,width,rmse
concrete,svi,0,test,0.9782038834951456,1.5752527955147015,6.2568805890424954
concrete,svi,1,trainval,0.9884789644012945,1.6107545281072815,5.38174113588907
concrete,svi,1,test,0.967621359223301,1.63384647861651,6.621977979870096
concrete,svi,2,trainval,0.9748705501618123,1.529534474828232,6.041553258600247
concrete,svi,2,test,0.9407766990291262,1.4362453009623901,6.197342261629635
concrete,svi,3,trainval,0.9689644012944983,1.4079512839432151,6.123403845665275
concrete,svi,3,test,0.9225242718446602,1.4076319978126262,6.68347443173085
concrete,svi,4,trainval,0.9789266450916936,1.5132927793194237,5.9458801365012075
concrete,svi,4,test,0.9450485436893203,1.539031656457371,6.738038421004857
concrete,svi,5,trainval,0.9682632146709816,1.5026294330822736,6.290641825634258
concrete,svi,5,test,0.9702427184466019,1.5619968601556418,6.625236829223525
concrete,svi,6,trainval,0.9830151024811219,1.5237619879927295,6.056805419991357
concrete,svi,6,test,0.9333495145631068,1.527249332772239,6.918027180407308
concrete,svi,7,trainval,0.985091693635383,1.6188450932747378,5.646622572216328
concrete,svi,7,test,0.9583009708737864,1.613177490617734,6.73922086214748
concrete,svi,8,trainval,0.9799190938511327,1.5279527507748953,6.10048038850424
concrete,svi,8,test,0.9733980582524272,1.5363766295117531,6.359277259623595
concrete,svi,9,trainval,0.9673840345199568,1.444233840378315,6.166567328508548
concrete,svi,9,test,0.9631553398058252,1.3940256027069224,5.927371522377612
concrete,svi,10,trainval,0.9790884573894283,1.5259418512103395,6.065619756832778
concrete,svi,10,test,0.9735436893203884,1.4915612628690085,5.715763074578747
concrete,svi,11,trainval,0.9783387270765912,1.5642288895264966,6.1276872250914245
concrete,svi,11,test,0.9622815533980582,1.4778670620618448,6.1501781184122235
concrete,svi,12,trainval,0.9748274002157498,1.5044556592566856,5.724890588797756
concrete,svi,12,test,0.9532038834951456,1.4735412138267971,5.731607182940276
concrete,svi,13,trainval,0.9750862998921251,1.4907129688641216,5.983340818027588
concrete,svi,13,test,0.980873786407767,1.4732286322442334,5.360124910623997
concrete,svi,14,trainval,0.9818284789644013,1.5196205479221858,6.005836635269465
concrete,svi,14,test,0.9529126213592233,1.448021947810266,6.9660774754788415
concrete,svi,15,trainval,0.9648327939590076,1.423076131832173,6.272031363519803
concrete,svi,15,test,0.9669902912621359,1.4030150500159975,5.840501214429233
concrete,svi,16,trainval,0.9724487594390507,1.4684519851202404,5.8291278111058995
concrete,svi,16,test,0.9350485436893204,1.450699072036416,6.87581525360016
concrete,svi,17,trainval,0.965900755124056,1.482318595346632,6.100828270248844
concrete,svi,17,test,0.9555339805825243,1.607033430657518,7.67428900066365
concrete,svi,18,trainval,0.9798327939590076,1.4983957514097404,5.626299090438312
concrete,svi,18,test,0.9540776699029127,1.552999465561741,6.976603681314566
concrete,svi,19,trainval,0.9798435814455232,1.5002722940394444,6.076312226474999
concrete,svi,19,test,0.9740776699029127,1.628939253685336,6.87779961708197
concrete,ll_svi,0,trainval,0.9882254584681769,1.164640786838444,4.440758072404784
concrete,ll_svi,0,test,0.9441747572815534,1.1797641951438103,6.128619504860974
concrete,ll_svi,1,trainval,0.9677130528586839,1.1250908430129165,4.459895556475889
concrete,ll_svi,1,test,0.9234466019417475,1.1383988515997352,5.630260327733964
concrete,ll_svi,2,trainval,0.9872222222222222,1.2499214144963848,4.766573996203374
concrete,ll_svi,2,test,0.9404854368932039,1.2379788138859722,6.1565504485389155
concrete,ll_svi,3,trainval,0.9910895361380798,1.3259003250345995,4.494454395743353
concrete,ll_svi,3,test,0.9196116504854369,1.3102602039693607,6.12437087229275
concrete,ll_svi,4,trainval,0.9552049622437971,1.3225965318875477,5.5089351430384985
concrete,ll_svi,4,test,0.8919417475728155,1.3335789581375845,6.536880171210337
concrete,ll_svi,5,trainval,0.9903236245954693,1.2430362202646714,4.412581825094065
concrete,ll_svi,5,test,0.964368932038835,1.275920466856558,5.870818792705007
concrete,ll_svi,6,trainval,0.9716936353829557,1.1477017159871885,4.48032072599441
concrete,ll_svi,6,test,0.9158252427184466,1.1707314686323957,6.093397888514188
concrete,ll_svi,7,trainval,0.9628586839266451,1.1183385048464403,4.403309946366418
concrete,ll_svi,7,test,0.9194174757281554,1.15026741107912,5.867301414108106
concrete,ll_svi,8,trainval,0.9880744336569579,1.1886424820627846,4.0158916404901905
concrete,ll_svi,8,test,0.9363592233009709,1.1794126216046508,5.720738747311827
concrete,ll_svi,9,trainval,0.9888187702265372,1.2567885788662307,4.077688854762937
concrete,ll_svi,9,test,0.965,1.2559168355385697,5.116079256044011
concrete,ll_svi,10,trainval,0.9802265372168285,1.2777186284600208,4.594119135139062
concrete,ll_svi,10,test,0.9839805825242719,1.2670849209203465,4.302691024433767
concrete,ll_svi,11,trainval,0.9894390507011867,1.2933630465277393,4.16197224678952
