,dropout,dropout_nofirst,ensemble,ll_dropout,ll_svi,svi,temp_scaling,vanilla
corrupt-static-spatter-2,0.22500377893447876,0.24055051803588867,0.2089657187461853,0.29262787103652954,0.2994634509086609,0.25222039222717285,0.2831171112846238,0.30855268239974976
corrupt-static-spatter-3,0.2888849377632141,0.2988245487213135,0.2593867778778076,0.376748263835907,0.3767523765563965,0.32700634002685547,0.3423733807838384,0.3747583031654358
corrupt-static-spatter-4,0.19561517238616943,0.262753963470459,0.24630630016326904,0.2971374988555908,0.33254724740982056,0.2600775957107544,0.3135383093410189,0.34187906980514526
corrupt-static-spatter-5,0.25056546926498413,0.3912716507911682,0.38734084367752075,0.4268205761909485,0.4983167052268982,0.3535493016242981,0.4742659919962411,0.5214316844940186
corrupt-static-speckle_noise-1,0.19351673126220703,0.24990975856781006,0.234849750995636,0.2956821322441101,0.33321869373321533,0.2865462303161621,0.2944041594534771,0.32219940423965454
corrupt-static-speckle_noise-2,0.33294451236724854,0.48542892932891846,0.4694848656654358,0.5229018330574036,0.5873753130435944,0.49428415298461914,0.5105385545437884,0.5694635808467865
corrupt-static-speckle_noise-3,0.4140332341194153,0.6268479228019714,0.5895591378211975,0.6546148955821991,0.7224210500717163,0.6017483472824097,0.611073465329825,0.6852697730064392
corrupt-static-speckle_noise-4,0.5739451944828033,0.8859402760863304,0.7780111581087112,0.9032033383846283,0.935880996286869,0.795344352722168,0.7619100815489941,0.8607374578714371
corrupt-static-speckle_noise-5,0.7093309462070465,1.084951102733612,0.8983332514762878,1.0986099243164062,1.0863038450479507,0.9553034193813801,0.8656839687193187,0.985045381821692
corrupt-static-zoom_blur-1,0.2534583806991577,0.2550201416015625,0.19241684675216675,0.30537331104278564,0.29111653566360474,0.2840031385421753,0.2690150098725641,0.2877107262611389
corrupt-static-zoom_blur-2,0.28780508041381836,0.2958148717880249,0.23103946447372437,0.3518518805503845,0.3409126400947571,0.3228224515914917,0.3181149345375416,0.34310704469680786
corrupt-static-zoom_blur-3,0.3539693355560303,0.37171071767807007,0.3015598654747009,0.4390954375267029,0.43053728342056274,0.3899232745170593,0.4031735598324112,0.4379507303237915
corrupt-static-zoom_blur-4,0.41641223430633545,0.4441640377044678,0.3754798173904419,0.5197503864765167,0.5167500674724579,0.45218127965927124,0.4833995458727621,0.5306527018547058
corrupt-static-zoom_blur-5,0.5163193047046661,0.5578823387622833,0.4949328899383545,0.6488759815692902,0.6517437398433685,0.5525147318840027,0.601888831838727,0.6686123311519623
roll-12,0.3360617756843567,0.3279299736022949,0.2538757920265198,0.4213396906852722,0.3558964729309082,0.3544386029243469,0.3226657206833954,0.3502517342567444
roll-16,0.3896968960762024,0.3849947452545166,0.2986219525337219,0.49937903881073,0.41130173206329346,0.398251473903656,0.3677406957255619,0.40119439363479614
roll-20,0.330005407333374,0.3253065347671509,0.24915826320648193,0.413407564163208,0.34556400775909424,0.3532674312591553,0.31972412568574926,0.3461393713951111
roll-24,0.2264411449432373,0.21960341930389404,0.16735076904296875,0.26933521032333374,0.23676055669784546,0.2583988904953003,0.22727389224853978,0.2429458498954773
roll-28,0.15851885080337524,0.1523187756538391,0.1146278977394104,0.18319040536880493,0.16669005155563354,0.18670952320098877,0.15950352324720496,0.16919565200805664
roll-4,0.15569955110549927,0.15057849884033203,0.11404609680175781,0.18133586645126343,0.16723185777664185,0.18585294485092163,0.1585219407692665,0.1678360104560852
roll-8,0.22756654024124146,0.21884751319885254,0.16689008474349976,0.2719917893409729,0.2411712408065796,0.25648802518844604,0.22647215397071796,0.24249064922332764
svhn,1.2500397861003876,1.3066894114017487,1.1881798654794693,1.4676784873008728,1.389321357011795,1.2728073298931122,1.2057426865276577,1.3739973306655884
test,0.1371564269065857,0.13066351413726807,0.09741389751434326,0.15989142656326294,0.14384180307388306,0.16448205709457397,0.13694744345735177,0.14537227153778076
train,0.0571628212928772,0.049615442752838135,0.012867271900177002,0.013886332511901855,0.019774436950683594,0.06434696912765503,0.03356380606236353,0.024464666843414307
valid,0.12957102060317993,0.1218712329864502,0.08964520692825317,0.1484900712966919,0.13390421867370605,0.15111684799194336,0.12463616470766314,0.13137876987457275
